Sentiment,clean_text
Positive,lover
Negative,bullying harrasment
Neutral,
Negative,broke
Neutral,
Positive,uneducated
Neutral,unused stack
Neutral,jump regressing jacklight
Negative,
Negative,documentary psycho orca jayashankar
Positive,joseph patient knowledgeable keeper book
Neutral,canal excelente
Neutral,
Positive,
Positive,politics shoved throat demonic boycott depends
Neutral,margin instance delivery
Positive,
Negative,redeemer mocking website
Positive,binge
Neutral,
Negative,look offline counseling
Negative,asterisk actor strange
Negative,hilarious extremely mother eversince moved shitthat
Negative,share protagonist physical location possibly lose
Positive,overall
Negative,discussion occlusion
Negative,lie prevent hacking impact
Negative,genre
Negative,depunggol ito naka nga ngayun matagal nag autodeduct
Negative,tomato score enjoy playlist ai assistant mood p reference plot older blockbuster succeeded opinion mess
Negative,purchase
Negative,
Positive,skip skip
Positive,
Neutral,mere pr krna hoga krna hoga glt baat kre
Negative,eh catastrophic
Neutral,bite
Negative,allow adult create dumb gender shape sound dumb clearly shown
Positive,
Negative,area sad
Negative,meagerly share upto
Neutral,maine aaya sath
Negative,mean cutting driving nut
Negative,travel unnecessarily idiotic
Negative,higher
Neutral,beam broadcast
Positive,lagging recommend brining leaving vote thankyou
Neutral,gamilcom mbatresjr
Positive,
Neutral,kuti ladra banka karna
Negative,tch son spread
Neutral,
Neutral,chl kuch
Neutral,
Positive,
Neutral,sakamoto bruuhh scheduled
Negative,whether useless
Neutral,ut contant gasolene modify way
Neutral,karnataka hier karnataka
Negative,tired prove dropped forth ugh
Positive,hahaha
Positive,
Negative,boring bellwood
Positive,chat resolved resolved
Neutral,completo arco
Neutral,khan aryan
Neutral,
Neutral,
Neutral,talbe netflice
Neutral,marathi
Neutral,
Negative,poop original adaptation childhood label filler cliffhanger mmorpg trauma pulling screenshot clip
Neutral,meth hbo's bundle
Negative,missive create gcasg
Neutral,livery instance margin
Neutral,ek mang hamara
Positive,
Positive,
Neutral,
Positive,
Positive,contacting helping
Neutral,beautiful wowwwww
Neutral,frustating om compained
Positive,smh selection blow
Neutral,bengaluru wachers
Positive,exceptional effective
Negative,developed frustrated development
Positive,helping appreciate
Negative,dazed pirate
Neutral,
Positive,
Negative,vo nayi koi intresting
Neutral,kemarin dapat gangguan dari tidak
Neutral,midnight gospel right dirty cheapskate
Neutral,noolashu dadaal ayey ubaahantahay iyo adkeysi
Positive,lilo stitch
Neutral,race alabasta princess switch
Neutral,zenebe borena
Positive,selection
Negative,troubling
Positive,
Negative,insurance dollar
Positive,
Negative,cancelling questionable
Negative,core companionship rotting value
Positive,boy detective cop julie phantom grand army
Negative,nah
Neutral,lama androit banget
Positive,relaxing whether classic cool documentary recommending taste offline convenience alone
Negative,unfortunately unused
Negative,declension hope ashamed
Neutral,kdramas laguages
Positive,
Negative,disgusting nah
Negative,minut kahate
Neutral,nise aps
Neutral,bakwaas
Neutral,hoti jakar
Positive,chapo
Neutral,tarriff
Positive,
Positive,wish
Neutral,
Neutral,bhaut ghatiya bhootni ek faltu pasand barbad
Negative,lead buddy talk deciding poorly
Positive,farted
Negative,
Negative,cool
Positive,dear foreigner japan native feel
Positive,
Negative,layout dreadful designer wasteful category vertical layout layout clearly inefficient
Neutral,boi tuff friggin
Positive,
Neutral,lagi ina putang nalang kinakaltas ayusin nyo yung
Negative,buster stop
Neutral,
Negative,
Positive,friend sopies
Positive,
Neutral,idle plenty
Positive,crackdown theyre aproved gtfo
Negative,unusual stared actor
Negative,higher higher extremely unsecured public absurd risk platform's arrogance
Negative,await disappeared
Negative,horr vel nem otimizada parece uma vers celular numa tela enorme paga caro nem ter uma vers otimizada ssimo
Positive,superb
Negative,ehen sport glad gaming retarded rather
Positive,
Negative,complaint reconstruct
Negative,unfortunately broken shell former power brand prioritized woman actor actress look focusing act role
Negative,traveller flushed fail toilet
Negative,
Positive,
Positive,earth
Positive,amazon sony xperia native
Positive,injoy
Neutral,
Positive,
Negative,spider criminal
Negative,msg logout hv wk
Neutral,unreal drive
Positive,
Positive,
Negative,teaching deviance pedophilic amiss
Negative,
Negative,skip programme complained usual horrendous corporate foreground
Positive,loged zip
Neutral,supper
Positive,
Neutral,
Neutral,
Neutral,
Positive,traveled
Negative,tollywood historical tollywood horror transformer jackie chan jurassic park jurassic terminator ramusetu karthikeya
Negative,propoganda fake
Positive,
Negative,stopping
Negative,
Negative,enshitification epitomised worse worse
Positive,buffer upgrading cutting brilliant hill
Neutral,cocuklar parayla ama oldu icin parayla yapmamiz ker kiyor kecke parasis olsaydi walaha
Negative,awful hateful
Positive,
Positive,romanian
Negative,stay jojo's bizarre adventure
Positive,
Neutral,malay lebih banyak macam traditional cerita malay
Neutral,plssss lag
Positive,
Negative,corporate greed
Positive,
Positive,
Neutral,
Positive,
Negative,vile unsubcribed
Positive,override
Negative,stuck chace unfortunately
Negative,
Neutral,shoot firing
Neutral,ausam
Negative,pillock mute turned
Negative,row cool bstd
Positive,accessible followed luck
Positive,holding hand corpo dog sea funding
Negative,minus coz plz
Neutral,cocuklar parayla oldu icin parayla yapmamiz parasis kiyor kecke ker olsaydi walaha
Positive,
Neutral,buang banyak pilihan bayar mahal cerita sedikit tolong tidak cerita
Negative,sad ipad
Negative,common handler master relative unpaused squeak remind lent unpause untrustworthy action lose
Neutral,
Neutral,dearest unholy ritual unleash unconscionable justice perfidy tirade magnitude quiver
Negative,punish traveler flushed toilet fail
Positive,
Neutral,abro aijaz
Negative,shame
Neutral,ihave aloot
Negative,indigo conference way alternative legitimately
Neutral,bypass
Negative,block juzt
Neutral,
Neutral,
Neutral,iska banana khulwane mushkil
Negative,aplicativo cada vez pior uma falta respeito eu espelhar assistir conte ao inv poder computador ou voc ter tem gica onde experi ncia cliente
Negative,everyday everyday reverse detail fund supervisor ended chat assist
Neutral,kardijiay primium
Positive,
Positive,comfortable
Negative,wrong
Positive,everymonth
Positive,
Neutral,psycho
Positive,account distance scammer hacker grow
Positive,iconic cool playlist ect zillion dollar alone lol
Neutral,
Positive,
Neutral,
Positive,
Positive,dear edition ram processer mediatek heliog edition fan crash crash ram
Negative,
Negative,gradually worse overall offer
Neutral,
Positive,
Negative,stupid downgrade unless original entertainment listening useless greed motivation indulge realistically
Neutral,
Neutral,mercie god's
Negative,quondam recover
Positive,happy happy
Positive,
Positive,
Neutral,flaw trawl pantomime
Neutral,requires
Neutral,bundle axiata packet packet axiata
Neutral,signup toooo
Negative,damn stil
Positive,
Negative,'continue supremely watching'
Negative,snapdragon relaunching gen
Positive,
Positive,naruto put
Neutral,akane marrie
Positive,
Neutral,log
Negative,greed corporal
Negative,culture rug pulled mess company cooperate sucking swindler burning passion
Neutral,khulwane banana iska mushkil
Negative,suspend 'unusual activity' disappointing resolving claim wrong
Positive,
Positive,apk
Neutral,mabuksan lang sakin
Neutral,deactivated stillborn proof
Neutral,dimag gaya fat
Negative,nonsense piteous
Positive,super
Neutral,
Neutral,safaring lotaf
Neutral,lane mujhe panding dekha mujhe hu expirense acha parsani wah har wakt tarah roke pasia lane
Positive,extremely bright adjusted
Positive,
Negative,unsubed item verw quick probably
Positive,ruining
Positive,
Positive,
Negative,tired spew
Negative,war mal ein toller anbieter aber mittlerweile ist nur noch die reine geldmache wenn du da teuerste abo hast kannst viel speicher haben wie du willst du kannst nur runterladen und gucken dir gestattet runterzuladen und zugucken und du musst die alle paar tage store aktualisieren sonst gibt sofort aussetzer oder die rzt gleich echt schade
Positive,
Negative,bht yha aadhi dekhni padho documentary bhai jitne rhe hisab
Negative,
Negative,goddamn ruined cut greed audacity
Positive,
Negative,anyway steal charged spoke salve excuse
Negative,eh catastrophic
Positive,fan stupid
Negative,repeatedly loses
Positive,
Neutral,scheduled sakamoto bruuhh
Positive,
Neutral,jay dit qvlovely
Neutral,intenchly greatness
Negative,die countless zoom zoom
Neutral,akun perangkat harus bayar lagi kalau mau dipakai lebih dari perangkat secara bersamaan
Neutral,
Neutral,monthe frod
Neutral,notgood
Neutral,
Neutral,bintang dulu deh soalnya aku perpihak kepada kemanusiaan membela kebenaran
Positive,look
Neutral,
Negative,foul obvious programming
Positive,
Neutral,
Negative,damage helping
Positive,lowest bright controlling hope
Negative,mind propaganda
Positive,
Positive,impressed
Negative,useless
Positive,look
Neutral,la celular dej ltimas versiones
Neutral,ssimo consigo tamb minha praseodymium pria assistir funciona
Neutral,gabage
Neutral,
Positive,
Neutral,muy pr ctica disfrutar pel culas cualquier momento contenido porque siempre hay mucho gusta variado cil
Positive,usable menu nah chopping block
Neutral,jas
Negative,
Neutral,
Neutral,door roblox
Positive,dear prioritize truly enjoy focusing task translation easier along glance
Positive,
Neutral,filmen achchhi filmen uplabdh bakchod
Positive,
Neutral,muy mejor seria buena pueda compratir diferentes paises
Neutral,ek vo dum dikha ta gye karke
Neutral,
Negative,sham stupid luckily invested stupid sport
Negative,block category parental
Positive,
Neutral,
Negative,recuperate hate
Negative,
Neutral,bom muito
Negative,useless useless
Negative,confirm thingy realy
Positive,prince joseph dream
Positive,
Negative,
Negative,unfortunately filled
Neutral,
Negative,status
Negative,woah hoop jumbo example stated mumbo xyz picking spa sooooo thank refuse exist
Positive,
Negative,beware propaganda
Neutral,kalyan pawan
Positive,happy
Positive,
Positive,
Positive,located
Positive,useless
Neutral,guod guod guod
Positive,okay
Neutral,
Neutral,ahr maganta
Positive,
Positive,efficient
Neutral,router prob
Negative,froyd balance froyd bastard
Negative,broken reconnect resolved one's policy messing tf
Neutral,
Neutral,kamahoge aloou
Negative,
Positive,
Positive,
Positive,channel
Negative,household redundant limiting smh
Neutral,faltuu gatiyaaa
Neutral,agency gigabit deliver blip struggle
Negative,force wife
Negative,
Negative,tryed guess sad
Neutral,netflixbut ilove
Positive,wow elder lady trough entertain livingroom bedroom in christmas
Negative,ppl heed
Neutral,
Negative,worse sending
Negative,lame
Neutral,
Neutral,
Negative,wholesome sick
Neutral,loa ale
Neutral,guod guod guod
Neutral,pliki wygasaj pobrane tydzie
Neutral,
Negative,haunted hptel
Positive,directs
Positive,
Positive,meantion creep
Neutral,completo dublado arco prefiro
Neutral,grown flummox
Neutral,appropriate sponsoring extreme sexuel orientation
Positive,cool binge
Positive,ty
Positive,
Negative,vine vine
Negative,wrought regardless nf allow allow simultaneously jumping stan
Neutral,
Positive,
Negative,
Neutral,
Negative,krijg altijd
Positive,
Neutral,unsubs krn suprot semoga laknatullah sumali elgebete hidupmu dineraka laknat
Negative,lower
Negative,farewell stellar watch
Negative,ask needful earliest thamudu
Neutral,parte sobre baixar epi dios uma farsa voc vai baixa quando vai assistir aparece uma mensagem dizendo poss vel assitir sinceramente considerando trocar outro
Neutral,
Positive,dawled
Negative,bellwood deadening
Neutral,banget androit
Neutral,mula langgan tonton boleh buka kat dgn tukar smlm sistem akaun utk btol perangai mcm pmtax sakau duit memanjang mmg
Negative,severe release
Negative,dangerous
Negative,lagging character ppl voice mouth okay
Negative,guidance face offline thank
Negative,earth spooky halloween aest australian eastern aest counting imagine disappointment
Negative,push matter disgusting narrative
Positive,rich vibe
Negative,
Positive,leaving filter saved
Positive,transchildren put perception sensitive mind mental health transition opposite gender seeking irresponsible portray manner refuse protect
Negative,stupid
Negative,
Positive,
Neutral,mula langgan utk tonton buka dgn tukar sistem akaun utk mengarut btol mmg mcm pmtax sakau duit memanjang perangai
Neutral,inclination childerns towards effect corrupt generation
Neutral,parallel iss milega
Neutral,respetar pila subt tulos apellido nombre li
Neutral,
Positive,mediatek soc realme nazro
Negative,broke
Negative,resetting sad
Positive,wonderful
Neutral,electronica
Positive,kpdh interactive battle kitty younger bringing interactive watcher
Negative,lagging
Neutral,unused spate
Neutral,malfunctioning
Negative,nowhere upgraded held plan's upgrading unsatisfactory
Negative,viewing ignored surfing
Negative,surfing ignored view
Negative,receive complained
Negative,beat created gen pirate avaritia betrayal treating filth bout shady tax worthless might stock greed
Neutral,dunno suggesting
Neutral,notice weekend
Positive,developer
Positive,positive impact
Neutral,kita tontonan mengikut citarasa sangat
Negative,outrageous buck urge
Neutral,
Positive,
Positive,sbi attempt visit prepaid dominate perticular headache
Negative,soo
Positive,costliest
Negative,'this title instantly pathetic multi billion dollar
Positive,
Negative,
Positive,
Negative,wrong personalized algorithm mood loud specific vin arnold swartzineger listed furious expect speedracer allow verbatim cry parameter
Neutral,argina
Positive,
Positive,title play flawlessly spends robb
Neutral,maka naman ehhh
Negative,husband 'supported ads' decent aggravating
Positive,generally enjoyed curious thai additionally viki raise furthermore wider increased
Positive,original taste offline regular improve fresh entertainment lover
Positive,security ensuring
Neutral,
Positive,
Positive,vanilla ice amish
Negative,moreover upgraded charged consent
Neutral,guod guod guod
Neutral,
Positive,
Negative,processing
Negative,flim decides beach
Negative,unless cuz fan miss
Positive,yellowstone
Neutral,
Positive,
Negative,overpay messing freezing altogether
Neutral,develop grown
Negative,belong raise blinking moved exceeded wdym member stupid
Neutral,pessima pessimo esperienza servizio clienti
Neutral,uso pel veo todos culas celular
Positive,brand
Positive,wow
Negative,
Positive,shood crome
Neutral,weekend parent's detect
Neutral,effort unreal
Neutral,sath popcorn
Negative,mess sneaky cult aimed kindergartner mess jones binary character paw patrol binary character mouth puberty plz ridley
Positive,baby
Positive,
Negative,
Positive,
Negative,sickining difinitely harmful destroying mind lead leave alone male female gender injecting false childrens head spread mentall illness
Positive,hope reminder gang wasseypur cancelling hope
Negative,fake
Positive,
Negative,offline subsist
Negative,
Negative,
Neutral,glitch
Positive,okay
Negative,ranger dino charged sad
Positive,
Negative,stupid condition grubbing corrupt corp
Positive,background
Neutral,bina hue kiye hota
Positive,
Positive,greed among ruined ironic blockbuster riddance blockbuster
Positive,
Negative,
Positive,
Negative,obvious expire alternative leadership
Negative,algorithm model idiotic silo creating stupid purchasing chance might offered
Negative,rip erase serivice
Neutral,rasheed abu nagar
Positive,
Positive,cute
Positive,greatest
Negative,
Negative,aside choice begin
Positive,
Positive,reduced surface
Positive,wonderful
Negative,
Positive,
Negative,wach useless
Neutral,
Positive,
Negative,walking daryl dixon
Neutral,
Neutral,
Positive,
Positive,clearly
Negative,amazon looting
Negative,allow tax gat tharge tax cal git
Negative,
Negative,
Negative,octobe algorithm useless wire detect forget
Negative,irritated pick annoyed quit
Negative,unreliable couldnt era
Neutral,
Positive,
Neutral,lllllllllove ittttttttt
Neutral,abhi kadraka
Positive,super
Positive,cinema
Negative,smackdown replay replay throughout farewell handle
Neutral,ooh fuh
Positive,store higher build row store
Positive,
Neutral,
Neutral,
Positive,
Negative,location earlier wi fi verifcation study restriction staying frustating
Negative,expire croak
Positive,disallowed multi window alongside pinterest drawing logic overlooked addressed
Positive,
Neutral,hologram dimensional naturalistic amen idahosa aug victor
Positive,original cent
Negative,kill tony block vote mark interested
Positive,cali's redistricting catfish mother wth avatar regard
Neutral,
Neutral,sapesa kanjira mw
Positive,
Positive,
Negative,
Negative,stupid sooner hulu streamed billion
Neutral,pad
Neutral,gaya maza
Neutral,andreas san frailty
Positive,adjusting unbearable
Negative,historical flesh egyptian swapped racism leave racially historical figure alone
Negative,youth discussing flow poisoning discussing
Neutral,rascal dowload
Positive,
Neutral,recapitulation intro's
Neutral,remove christian
Positive,
Neutral,fitur buang tolol
Negative,bringing greed classic collective nore
Neutral,dweba lumka husband
Negative,layout open epic fail
Positive,
Positive,fever thank
Positive,
Positive,hope fix
Positive,
Negative,nature color children's violative
Negative,april somehow magically activated knowledge summer sept somehow thief's
Negative,
Positive,
Positive,
Neutral,
Neutral,korra lenda tirou eu novo
Positive,
Negative,payed pet
Negative,flagship xiaomi crash
Positive,arc pleaseeeee silver arc egghead island arc
Neutral,pod mara
Positive,
Negative,forced
Negative,break lock paramount press pitch
Positive,honest
Negative,sick notice hypocrite throat clam demolishing value leave greed
Negative,limitation god forbid partner watch worried
Neutral,gila apa wey dlm rumah yg sama guna yg sama tp jd bukan sebahagian dari akaun ini
Negative,buffing
Negative,
Negative,fiance set provider cancelling
Neutral,urdu jay chus
Positive,tier catalog original
Positive,hope variation older everything's arranged enjoy
Positive,
Neutral,ti coi ph tr tr gilbert phim tr coi phim mu chuy qua ti coi ti ph ph kh coi mong mu
Positive,entertainment
Neutral,kenapa bahasa indo ee langsung bahasa melayu patut nya pony dh ade bahasa melayu tau lain pun bahasa melayu
Neutral,
Neutral,century addictive
Neutral,darken
Neutral,father's
Positive,increase loklok
Negative,rejoin nag
Positive,
Negative,feeling kannadig
Positive,produce transgenderism throat innocent sexualising innocent painting white evil hero racism ol' peacefully leave kissing encouraging gender helloooo
Neutral,
Neutral,eh j
Neutral,
Negative,sending presentment row ballpark turd notification
Neutral,talbe netflice
Positive,
Positive,
Positive,graphic entirely rent pirate
Negative,
Negative,
Neutral,ehhh maka naman
Positive,okay
Negative,extremely pointless useless
Neutral,
Neutral,mk mmmmmm mmnm
Negative,
Negative,wrong refuse unlocked suppose unlocked unlocked damn
Negative,large globally throne prison break large subject
Neutral,
Neutral,kalyan pawan
Negative,disappear internationally extensively utilise optimally useless western culture lgbqt profanity perversion shomax
Neutral,diesis mus selben haushalt hat vollkommen mich unnutzbar gemacht lohnt sich einfach
Negative,summer severely lowered bluetooth wired codec decoder
Neutral,pangit gumana na'to nito pasensya saltik gumawa nakakaubos
Negative,kasi kahit nagagamit naman nagbabayad nagpplay
Neutral,scooby doo mystery incorporated
Neutral,om compained
Neutral,seasonal zombie
Positive,satisfied
Positive,
Neutral,
Negative,disgusting mindset
Negative,pangit mag nag create hinde padin nag namn bakit ganon lagi nalang namn padin naka bayad
Positive,farther
Neutral,extortionate way struggle gbit blip deliver
Neutral,pleaseee showsss
Positive,leveling academia
Negative,guardianship rather
Positive,
Negative,xiaomi mediatek processor dimensity ultra might
Positive,favourite
Neutral,
Positive,international module
Positive,plz arrange iranian
Positive,
Neutral,exelente calidad servicio valley pena variado faltan peliculas como transformer harry potter entr quizas otras deba permisos demas esta muy
Positive,improve leaving filter binge
Neutral,rafik
Neutral,mau tiap ribet nonton harus udah nanti gitu lagi terus begitu ribet
Positive,completed
Neutral,wifi's possess whose
Neutral,borderland alice
Neutral,millimeter mm yyyy dd
Negative,horror pic preview bright
Positive,super
Neutral,unbeatable
Negative,nickname death dub death fan
Neutral,
Neutral,bhaii faad
Negative,
Negative,amo hoje ano tenho celular
Neutral,
Positive,
Positive,trashiest case tired
Positive,
Negative,
Negative,clearly happy receiving saturn
Positive,
Positive,
Negative,
Positive,
Positive,
Positive,
Neutral,bintang membela deh aku perpihak kepada kemanusiaan dulu kebenaran
Negative,josh genre
Negative,
Negative,precisely loses
Neutral,badest
Negative,color color
Positive,
Neutral,arrange hh mm dd
Positive,
Negative,
Neutral,hota kiye imbue bina
Neutral,celllent antique
Negative,higher higher btw hor
Negative,posess advertise
Neutral,rascal dowload
Positive,performance
Neutral,tf
Negative,biotechnology probably rejoining
Neutral,om compained frustating
Negative,outrageous corrupts item licensing menu inner detoriation
Positive,stingy browser
Positive,
Neutral,puro kahit maayos naman
Positive,
Positive,standard cool leisure
Positive,
Neutral,gle une regarder cran vid
Positive,binge
Neutral,catastrophique nouvelle
Negative,fact national anthem
Positive,
Neutral,shab bhatti faarhan
Negative,credit prepaid regional accepted limitation
Neutral,
Negative,ugh useless aint spend thingy fair
Neutral,router prob
Positive,
Negative,create
Positive,jst
Negative,evil
Negative,fibre jerky synchronize wife extremely frame
Neutral,
Neutral,buena muy
Positive,
Neutral,
Neutral,gvbbh saq zas azimuth z
Positive,tbbt
Neutral,
Negative,
Positive,appointment
Positive,
Negative,warning manipulating abroad member steal
Neutral,mc sale rong
Positive,
Negative,cancelling spoilt
Positive,
Positive,luv everthing netflex
Positive,drar lock wood co ea
Negative,claim pathetic billion multi dollar
Negative,chodzi aplikacje netflixa gdzie mamy podstawowy mamy opcj ogl dania jednym dzenia gdy wy wietli nam komunikat zbyt du ej ilo ci korzystaj cej tej chwili netflixa pokazuje mamy niego klikniemy gdy powi programu polega tym podpi ta kart platformy po klikni ciu bez zastanowienia nasz rachunek ulega podwy szeniu koszt nawet dziecko przypadkowo mo zi szkody
Positive,
Positive,unstable
Neutral,hotspot bare
Neutral,animal jasmine
Negative,event existence handle lamest sport phone's create production
Positive,costly
Negative,
Neutral,detection
Positive,dub
Positive,
Neutral,continued
Neutral,bottom catalog
Positive,okay
Negative,router 'cast' 'cast'
Negative,appletv might
Negative,adjustment
Negative,exp
Neutral,muy pr disfrutar ctica pel culas cualquier gusta porque siempre hay mucho variado cil
Positive,
Positive,
Negative,posting inform received reply complaint solution
Negative,costly
Neutral,rong sale mc
Neutral,
Negative,controll remote controll skyshowtime
Positive,coz offline flight kindly
Negative,swindler rug pulled mass company cooperate sucking culture burning passion
Neutral,subscribtion rough
Positive,
Positive,
Negative,way
Positive,
Positive,propaganda walk book gym brain rot
Neutral,
Positive,fan happy marriage wedding fan titled labeled prefer
Positive,
Neutral,belong logarithm
Neutral,manually channel
Neutral,saiaungmurng
Positive,amazon showman vision becoming advised eye specialist
Negative,summer severely lowered codec bluetooth decoder
Positive,
Positive,
Positive,
Neutral,abr consigo
Positive,norhing built nothin
Neutral,mann whach
Positive,piss book
Negative,imposed tarrifs
Neutral,
Negative,tiger robbed storgae
Negative,refusing gmail wach
Positive,kry ha ha
Neutral,thata yona
Negative,
Positive,
Negative,satanic ad's hulu amazon beware tubi warned vigilant
Positive,greatest
Neutral,midnight right gospel begrime cheapskate
Negative,functionality drop trailors forward conetnts skip predetermined
Negative,keep following
Neutral,spiderman zendeya
Neutral,
Positive,netflixs
Positive,
Neutral,christian terrorist
Positive,luck
Neutral,
Positive,
Negative,warning upgrade
Neutral,lumayan gacor kang
Negative,
Neutral,tripping
Negative,goddamn occult
Positive,
Negative,historical figure racially swapped racism leave egyptian historical figure alone
Negative,depunggol ito naka nga matagal ngayun nag autodeduct
Positive,
Neutral,sexuel sponsoring appropriate orientation
Negative,wish remote nexflix frustrated broke apon
Positive,
Negative,disgusting risk responsible vulnerable gamble
Positive,
Positive,bcuz
Positive,super actvie center trusted ty
Positive,
Positive,stupid brooklyn
Neutral,extortionate struggle gb way blip
Positive,
Neutral,
Negative,programming worse management turnover
Negative,save
Neutral,globally predator ped
Positive,
Negative,looked soo
Negative,reject play sound severally
Positive,
Negative,amazon disgusting filth enjoyable derranged
Neutral,
Negative,ridiculously gadget lowered
Negative,cancelling
Negative,
Positive,
Positive,alert explain
Neutral,bhaii faad
Positive,lesser tubi
Negative,technician clam contacted spend
Neutral,
Neutral,dnaying
Negative,
Neutral,prefiro dublado arco completo
Negative,soooo poof
Positive,super
Neutral,qu porquer hicieron
Positive,
Positive,unhelpful frequently recomdations toaren't helping
Negative,screencast
Negative,difficulty reloading
Neutral,
Positive,hunter ughh mystery sto breathing sad happy
Negative,format concentrate content frustrated entirely scrolling outrageously selfish
Negative,motherfucker bastard dear enjoy
Negative,
Neutral,arey pichi lanjakodaka cheyya dakani ganta sepu paduthundi aina vasthaledhu
Negative,
Negative,highest offer includes urge tier
Negative,justify increase overall anyway greed
Negative,lagging
Negative,enjoy disappoint park
Neutral,loaded
Neutral,itv adverys
Negative,weak extremely pathetic original pandemic capitalized tubi quarantine tubi
Neutral,kichen steel wo hoga pata gaya tum paye
Positive,stupid overstepping original promise
Positive,transgenderism among natflix healthy intellectual growth
Neutral,
Negative,mia
Positive,
Neutral,becouse apk faild
Negative,designed avoid
Positive,experiance recommending row original recommend session
Neutral,payah aja udah lama bakalan ditingal luh muter kalau ky gini nove iqyi ajaa
Neutral,prost dn sledov skv aplikace chyby
Negative,
Positive,
Neutral,teruk tk bole nk buat pon tk boleh
Neutral,offlinemodus ist okey vorallem zu beginn angebot fehlt oder bessere bildspanne fehlen schlechte bersicht
Negative,specific age feel genre scrolling imbecile pressing website easier event wrong
Neutral,
Negative,barley spending horror genre spending
Positive,differant conteries
Neutral,krishna janemaan sunil grover kapli acha dikha janemaan dekhle meri kikku
Positive,useless cursed
Positive,
Negative,malfunctioning failed unsuccessful kindly
Neutral,deomn loge
Neutral,durty
Neutral,arabic translated
Negative,assist previously ship intention disliked
Negative,pseudo feminist wokes
Neutral,
Neutral,becouse apk faild
Neutral,absolut cinema
Neutral,suprot krn unsubs elgebete laknatullah semoga hidupmu selalu dineraka
Neutral,
Negative,bhai karo kisi upar kam urdu deta
Neutral,peaky unreasoning blinder peaky
Negative,posting mistake informed received reply solution complaint
Negative,park shame
Neutral,boolshet thez
Neutral,medicare jk fb
Negative,share shareholder disgusting pig patronize
Neutral,
Neutral,
Neutral,art steel
Positive,company improve earn gimme gimme leave permanently alternative offer
Neutral,rebooting
Neutral,
Negative,white cheapen
Neutral,flix flix
Positive,story korea japan thailand focus movement reading spanish predominant kindly prioritise thank
Positive,freezed unfreeze
Negative,billion ability forward mean anathemize streamed
Positive,
Negative,style push
Positive,
Negative,fact override darkest bright floating window
Negative,ethics fight
Positive,wow
Positive,
Negative,research result karogi pyar mujhse dosti kaho result
Negative,harry megan payroll financial benefit cancell along horrific evil hateful damage death entertained oprah netflex harry megan stating lie proof regard sound cancell vendor
Negative,padre dad's dollar absurd
Neutral,hh thy
Positive,
Neutral,proof deactivate abortive
Neutral,
Neutral,aaya sath maine
Positive,mean recommend
Positive,grandkids night
Negative,
Positive,
Neutral,titre le correspondent jamais ce qui dot
Neutral,
Negative,kan niks meer casten naar mijn optie weg mirroring krijg natuurlijk een zwart scherm vanwegen maatregelen
Positive,
Negative,rey evadra ninnu cheyyakunda choodakunda pettamannadu chetha choosi nerchuko idiot
Negative,ransack amazon
Negative,
Negative,loses value exactly
Positive,important
Negative,
Negative,dear bastard bastard enjoy
Positive,
Neutral,
Neutral,achi bilkul bntiiiiiii
Negative,xavier false allegation scared refusing
Negative,
Positive,
Negative,
Negative,kan maatregelen casten naar mijn optie weg een scherm niks
Neutral,recapitulation intro's
Positive,entertainment
Positive,refresh consistent glad spend cent hope
Negative,ufc ppv's ppv's justify leave decided maintain
Positive,
Positive,beautiful exist creed
Negative,benefit disgusting cancelling indefinitely finger prick
Negative,tho fact prefer hulu impel
Negative,screenshot
Negative,cool row bstd
Positive,insert detail sorry
Negative,
Positive,
Negative,bea aweful aweful attitute
Positive,
Neutral,yg kurang lengkap apalagi buat korea aja perbanyak naruto jepang seperti lagi shippuden
Negative,brilliant might straw
Negative,
Neutral,dearest unholy ritual compels cherish betrayal unconscionable justice unleash tirade magnitude quiver
Neutral,kes hoti january lete kyo
Negative,buried abandoned ease
Positive,
Positive,allow accout sister love
Positive,enjoyed felt carried
Positive,
Neutral,tontonan menarik sangat mengikut citarasa
Positive,gud improve categories' country
Negative,stuck
Positive,terminator street cop
Positive,
Neutral,magus kanki
Negative,rule
Positive,thank staying
Negative,ability genius decide restructure menu type sack chance kill provider retarded
Negative,fake propoganda
Neutral,adorava acho isso perguntarem mudei resid ncia claramente querendo saber dinheiro compartilhando uma conta sendo paga percam estou
Positive,
Negative,
Positive,
Negative,lagging apparent
Positive,
Neutral,sabse
Neutral,lazypay simpl
Positive,
Negative,
Neutral,tum dekho hindu objective badnaam unhe
Neutral,
Neutral,
Negative,fulfill jio hand netmirror hotstar annum providing
Positive,
Neutral,streamen auf endger ist au erdem nervt das unbedingt zugriff auf meine helligkeit hat steuern meine helligkeit selber chte einstellungen vom ger und der
Positive,fact screenshots screenshot dumpest copyright
Positive,
Positive,fantastic
Positive,age red
Negative,worse principal worse
Negative,
Positive,
Neutral,atualiza erro pagamento funciona forma
Neutral,ajimul rdx
Neutral,rascal dowload
Negative,
Neutral,
Negative,
Negative,feed outrageous enugjt subscriptionbeing ish dollar increaseprices
Positive,fantastic
Neutral,addictive century
Positive,
Neutral,jnk
Neutral,nako basura ina
Negative,hogar dispositivo al parte red hogar mayor sin sentido metido esa limitaci voy pagar servicio forma tengo explicar
Negative,repeated failure
Negative,indoctrinate studio angel trusted
Neutral,propagandist
Neutral,gamilcom mbatresjr
